hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoU,CoA,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
1846,"Cairn Hill West Top [Hangingstone Hill]","28B",2302,"DT,CoH,xN","743","2438","NT895193","NT 89572 19300","NT897194","738","5","no feature: heather","","Abney level","2009-06-08","","80","OL16E","389573","619304","55.467455","-2.166486","ES","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1945,"Snaefell","29",,"Ma,Sim,CoH,CoU, CoA,SIB","621","2037","SC397880","SC 39775 88088","Sea","","621","rock within 1m of trig point","summit lies between two masts","obvious summit","2007-03-10","","95","IoM OL","239771","488088","54.263297","-4.461603","M","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
1946,"North Barrule","29",1945,"Hu,5,Dew,sMa","565","1854","SC442909","SC 44279 90924","SC406886","422","143","rock 3m WSW of trig point","","Abney level","2007-03-10","","95","IoM OL","244275","490924","54.290155","-4.393993","M","",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1947,"Slieau Freoaghane","29",,"Ma,4","488","1601","SC340883","SC 34085 88361","SC343866","335","153","mound with white quartz cairn and pole","summit is situated 4m W of trig point","Abney level","2001-10-28","","95","IoM OL","234081","488361","54.263934","-4.549025","M","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1948,"South Barrule","29",,"Ma,4","483","1585","SC257759","SC 25773 75920","SC298807","47","436","trig point","","obvious summit","2001-10-28","","95","IoM OL","225769","475920","54.149478","-4.669286","M","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1949,"Bradda Hill","29",,"Ma,2","233","764","SC194711","SC 19424 71142","SC201710","37","196","cairn","","obvious summit","2009-07-03","","95","IoM OL","219420","471141","54.104392","-4.763522","M","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1950,"Mull Hill","29",,"Ma,1","169","554","SC189676","SC 18989 67678","SC206684","18","151","outcrop on WSW side of pill box","no natural ground in summit area","","2001-10-28","","95","IoM OL","218985","467677","54.073142","-4.768094","M","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1951,"Yr Eifl","30A",,"Ma,5,Dew","560.7","1840","SH364447","SH 36495 44747","SH453485","131","429","trig point with metal sign '4 (with small H&A)' screwed on","","Leica NA730/Leica GS15/Trimble GeoXH 6000","2020-01-05","Added to Trail 100 list Jan 2020","123","253 254","236491","344744","52.975053","-4.436593","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1952,"Gyrn Ddu","30A",,"Ma,5,Dew","522.1","1713","SH401467","SH 40118 46788","SH387445","136","386","cairn","","obvious summit/Trimble GeoXH 6000","2015-04-24","","115 123","254","240115","346785","52.994478","-4.383695","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1953,"Bwlch Mawr","30A",1952,"Hu,5,Dew,sMa","510.3","1674","SH426478","SH 42673 47851","SH 4143 4664","362.7","147.6","large boulder 12m ESE of trig point","rock outcrop 135m SSW at SH 42643 47721 is 0.35m lower","Leica NA730/Leica GS15/Trimble GeoXH 6000","2023-07-11","","115 123","254","242670","347848","53.004782","-4.346179","W","",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
