Name,ShowReportGraph,Axis,Description,DisplayTitle,Smoothing,SmoothingWindow,DisplayUnits,DisplayUnitsName,ColorName,LineStyle,MinYAxis,MaxYAxis,LapMath,Comment
Altitude,FALSE,0,Altitude,Altitude,None,0,Meters,Meters,#4daf4a,Solid,,,Ignore,
Cadence,FALSE,0,Cadence,Cadence,None,0,None,SPM,Black,Dash,,,Mean,
Calc.Climb,FALSE,0,Calculated Climbing Rate,Calc Climb,None,60,Meters,meters/min,#984ea3,Solid,,,MinMax,Calculated from time and distance
Distance,FALSE,0,Distance,Distance,None,0,Meters,Meters,Black,DashDot,,,Delta,
Grade Adjusted Pace,FALSE,1,Grade Adjusted Pace,GA Pace,None,100,Pace,m/s,Black,Dot,,,Mean,Calculated from Calc.Pace and Altitude
Heart Rate,FALSE,0,Heart Rate,Heart Rate,None,0,None,BPM,red,HrZones,,,Mean,
HrPwr,FALSE,3,Heart Rate to Power,HrPwr,None,60,Integer,mW/beat,#a65628,Solid,,,Mean,
HrPwrOffset,FALSE,3,Heart Rate to Power (Offset),HrPwr (Offset),None,50,None,,#4daf4a,DashDot,,,Ignore,
SpmPwr,FALSE,3,Cadence to Power,SpmPwr,None,60,Integer,J/Step,#ff5628,Solid,,,Mean,
Incline,FALSE,0,,Incline,None,50,None,,#f781bf,Solid,,,Ignore,
Power,FALSE,2,Power,Power,None,0,None,Watts,purple,Solid,,,Mean,
Power Estimate,FALSE,2,Power Estimate,Power Estimate,None,0,None,Watts,#4daf4a,DashDotDot,,,Ignore,
Power Estimate Error,FALSE,2,Power Estimate Error,Power Estimate Error,None,0,None,None,#4daf4a,Dot,,,Ignore,
Speed,FALSE,1,Speed,Speed,None,0,Pace,m/s,#377eb8,Solid,,,Ignore,
Stance Time Percent,FALSE,0,Stance Time Percent,Stance Time Percent,None,0,None,Percent,#984ea3,DashDotDot,,,Ignore,
Step Length,FALSE,0,Step Length,Step Length,None,0,Meters,Meters,#984ea3,Dot,,,Ignore,
Temperature,FALSE,0,Temperature,Temperature,None,0,None,Celcius,Black,Dash,,,Ignore,
Vertical Oscillation,FALSE,0,Vertical Oscillation,Vertical Oscillation,None,0,Meters,Meters,Black,DashDot,,,Mean,
Vertical Ratio,FALSE,0,Vertical Ratio,Vertical Ratio,None,0,Meters,Meters,Black,DashDotDot,,,Ignore,
W' Balance,FALSE,0,W' Balance,W' Balance,None,0,None,None,#999999,Solid,0,,Ignore,
